"","geneID","flL1L2-ERR1466827","flL1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","pL1L2-ERR1466836"
"2008","SPAL_0001392450",0,0,0,0,0,0,0,0,0,0
"2009","SPAL_0001393700",0,0.0268954436267153,0.0792615552023511,0,0.0674579617449974,0,0.0646706271070781,0.0258760412716333,0,0
"2010","SPAL_0001393800",0,0,0,0,0,0,0,0,0,0
"2011","SPAL_0001394500",0,0.0269690654350177,0.0398185396229849,0,0,0,0,0.0513925180637886,0.122639339215733,0
"2012","SPAL_0001394675",0,0.0491470748656699,0,0,0,0,0.0651155396644963,0.203313573002814,0.0408904660464448,0
"2013","SPAL_0001394800",0,0.080579881708909,0.0790671120238242,0.0271028045297381,0,0,0.129076478306234,0.0519583047181889,0.163599853724232,0.0661306887770196
"2014","SPAL_0001395100",0,0.0557701508981122,0,0,0.0333762376098422,0,0,0.0253929613985677,0,0
"2015","SPAL_0001395400",0,0.136032616469064,0.361618214726231,0.0798042582746911,0,0,0,0.0769767234957201,0.0410727952165448,0
"2016","SPAL_0001397600",0,0.0225758783112216,0,0,0,0.00922420635899802,0,0.00850479984672778,0,0.0336706618775864
"2017","SPAL_0001397700",0,0,0,0,0,0,0,0,0.0111901720535847,0
"2018","SPAL_0001397800",0,0,0,0,0,0,0,0,0,0
"2019","SPAL_0001397900",0,0,0,0,0,0,0,0.0375519136792783,0,0
"2020","SPAL_0001400500",0,0,0,0,0,0,0.130942342615511,0.179365838391637,0,0
"2021","SPAL_0001400700",0.0485947009102221,0,0,0.0268945061829496,0,0,0,0.122733730972715,0,0
"2022","SPAL_0001401400",0,0.0424438360480498,0,0,0,0,0,0.0358707326417453,0,0
"2023","SPAL_0001401500",0,0.0271182947979451,0.0400175393388406,0,0.033448536869353,0,0,0.0254429214556308,0,0.133518347230302
"2024","SPAL_0001401700",0,0,0,0,0.0338256446144476,0,0,0.0259573665437305,0.271708516043833,0
"2025","SPAL_0001402100",0,0.247952770798453,0.0808836797926095,0,0,0.248554975884174,0,0.0690397376041798,0,0
"2026","SPAL_0001402400",0,0.169911336407511,0,0.0503989283552838,0.140241637350109,0,0,0.0542128360017014,0,0.0323117531593543
"2027","SPAL_0001402500",0,0,0,0,0,0,0,0,0,0
"2028","SPAL_0001402700",0.0943457044960283,0.0831974098990067,0.0404115466124163,0.0993059062408831,0.0331543629307199,0,0,0.0856285436641831,0.0817362358505734,0.0665831554607274
"2029","SPAL_0001403000",0,0.0268431876259649,0,0,0,0,0,0,0,0
"2030","SPAL_0001403300",0,0.0807937523597021,0.0793697760870403,0.0269765930366343,0,0.197360972078097,0.0647581542000816,0.0259067196283412,0,0.0663728048233312
"2031","SPAL_0001403400",0,0.026937694214694,0.0794064653259086,0,0.0337544549454482,0.0281641334798475,0.12955885823124,0.0258854147319056,0.08187592831169,0
"2032","SPAL_0001403500",0,0.0894596217487323,0.0392352947168682,0,0,0,0,0,0,0.19046559597932
"2033","SPAL_0001403700",0,0,0,0,0,0,0,0,0,0
"2034","SPAL_0001404050",0.0489584260909056,0.170415056307043,0,0.0268148952778589,0,0.0275585416635739,0.0646337466292406,0.377383207464153,0.0407642368926234,0.132080696736085
"2035","SPAL_0001407850",0,0,0,0,0,0,0,0,0,0
"2036","SPAL_0001407933",0,0,0,0,0,0,0,0,0,0
"2037","SPAL_0001410850",0.193419127731614,0.168652557455653,0,0,0.129945604836202,0,0,0,0,0.195310619665206
"2038","SPAL_0001414533",0,0.0563881666265302,0,0,0,0,0,0.0247815609179736,0,0
"2039","SPAL_0001417550",0,0,0,0,0,0,0.0644801842150803,0,0,0
"2040","SPAL_0001420250",0,0.0579339398285418,0,0.0276083946893984,0.128399273664854,0.111718898188674,0,0,0.0800055747981127,0
"2041","SPAL_0001422950",0,0.0286440496314898,0,0,0,0,0,0.146406257886319,0,0
"2042","SPAL_0001423950",0,0.0273339698402283,0,0,0.0332247853970537,0,0,0,0,0
"2043","SPAL_0001428050",0.0487833561678453,0.0281692727205999,0,0,0.0328550001013852,0,0,0.100309173052018,0,0
"2044","SPAL_0001429400",0.0482096357319973,0.188579463781203,0,0.0538782046911698,0.0675049767587713,0,0,0,0,0
"2045","SPAL_0001431650",0,0.0548020855331871,0.0401103441973814,0.0261160490634429,0,0,0,0,0,0.0663003979742124
"2046","SPAL_0001431833",0,0.0289043564341576,0,0,0,0.0557386085376395,0,0.0246227908680271,0,0
"2047","SPAL_0001431866",0,0,0,0,0,0,0,0,0,0
"2048","SPAL_0001432850",0,0,0,0,0,0,0,0,0,0
"2049","SPAL_0001435000",0,0,0,0,0,0,0,0,0,0
"2050","SPAL_0001435200",0.0482445445363307,0.0537801257236428,0,0,0,0,0,0.0256593704865884,0,0.0663619069215347
"2051","SPAL_0001443600",0,0.0538768493000967,0,0,0,0,0,0.0517928986111337,0.169459622372456,0
"2052","SPAL_0001443700",0,0.0540832918691486,0.0171774677510079,0.026963328252016,0,0.0281898017070541,0,0.0259235950818587,0,0
"2053","SPAL_0001446600",0,0,0.200877485371951,0.213184495954264,0,0.027875180817051,0.0654263546156842,0,0.0411061532143202,0
"2054","SPAL_0001446900",0,0,0,0,0,0,0,0,0,0
"2055","SPAL_0001447000",0.0898615978668555,0,0,0,0.126318104051126,0,0,0,0,0
"2056","SPAL_0001447100",0.0711746215733026,0.107730458016162,0,0,0.100499503788136,0.0281515367082082,0,0.0258751073810899,0.163711411212837,0.0663917919180512
"2057","SPAL_0001447200",0,0.145629089645735,0,0.0276130465323142,0.0326260844359678,0.0279611241140828,0,0.125225357443891,0,0.196894848497039
"2058","SPAL_0001447400",0,0,0,0,0,0.0282921256725902,0,0,0.0820096599967683,0
"2059","SPAL_0001448000",0,0.118274103752668,0.0397197800502782,0.0538686555829902,0,0.112619765454622,0.129977525250565,0.173946455021445,0.0818883084726562,0.0665601755591876
"2060","SPAL_0001448100",0,0.0269220019719944,0,0,0,0,0,0,0.12234050210187,0
"2061","SPAL_0001448300",0,0,0,0,0.0336892358349711,0,0,0,0.0410710431742049,0
"2062","SPAL_0001448400",0,0,0,0.0271608568847944,0,0,0,0,0,0
"2063","SPAL_0001451600",0,0,0,0,0,0,0,0,0,0
"2064","SPAL_0001451700",0,0,0,0.0270663078697687,0,0,0,0.0522146791672226,0,0
"2065","SPAL_0001452750",0,0.113518726272516,0,0.0537445110188388,0,0,0.0643663781666696,0.250712174285111,0,0.197193091285201
"2066","SPAL_0001454600",0,0,0.0400139520788319,0,0.0337402691236476,0.0197186801061141,0.065217548080183,0.171125714020302,0,0
"2067","SPAL_0001454700",0.0480382450327658,0.0268923928392646,0,0.0811905115394408,0,0,0,0.0519184286088241,0.081850405617315,0
"2068","SPAL_0001454800",0,0.0269092839633177,0,0,0.033741058736699,0,0,0,0.0409068665150385,0
"2069","SPAL_0001455200",0,0,0,0,0,0,0,0,0,0
"2070","SPAL_0001455800",0,0.0813783926193654,0.0400616091025308,0.0267419387343338,0,0,0,0.154677123908607,0,0
"2071","SPAL_0001456000",0.0713507525201485,0,0,0,0,0,0,0,0,0.0514785199427027
"2072","SPAL_0001456300",0,0.0268431917829476,0,0,0,0,0,0,0,0
"2073","SPAL_0001456475",0,0,0.0395725738863403,0,0,0,0.0643482093209395,0,0,0
"2074","SPAL_0001457300",0,0.0270741139760098,0,0.0270451992772178,0,0.14136103010666,0,0.259900001904895,0,0
"2075","SPAL_0001458100",0,0,0,0,0.0676527592329732,0,0,0.0873882761256687,0.0422380079948123,0
"2076","SPAL_0001458500",0,0.0806554239257826,0.0395904930909469,0.135214428872885,0.067566013463877,0,0.0646198866810795,0.285369199273382,0,0.0662214269776189
"2077","SPAL_0001458600",0,0.0268391072243832,0,0,0,0,0.0644897512887109,0,0,0
"2078","SPAL_0001458700",0,0.0807733859550743,0.158655569225723,0.027016598307932,0,0,0,0.0259337057291844,0.1637883750464,0
"2079","SPAL_0001458800",0,0.0537099333226533,0,0,0,0,0.0645759744265973,0,0.204106747405424,0
"2080","SPAL_0001458900",0,0,0,0.0268798179434567,0.0677939209227908,0,0,0,0.123740340453049,0
"2081","SPAL_0001458950",0,0.0541921199483194,0,0.0269951784281885,0.0338864968774909,0.0282258270301688,0,0,0,0
"2082","SPAL_0001459000",0,0.161792775318849,0,0,0.0337795848909357,0.140890374498753,0,0.0518018244683032,0.204873838695409,0.0664752755239158
"2083","SPAL_0001459100",0,0.134448887311025,0.0397123849701027,0,0.0334596418722551,0,0.0647214526599557,0,0,0
"2084","SPAL_0001459300",0,0.0775672668945163,0,0.0269770896751634,0,0,0,0,0,0
"2085","SPAL_0001459600",0,0.214934070795649,0.118642984163238,0.108370826745527,0.067605257091083,0,0.129117897380279,0.0779209302067066,0.122714404719309,0.0661536872645225
"2086","SPAL_0001459850",0,0,0,0.108643079118381,0,0,0,0,0,0
"2087","SPAL_0001460000",0,0.081121150745621,0.0398968103862341,0.0268831965404303,0.0337826978127097,0,0,0.051732623431522,0,0
"2088","SPAL_0001460350",0,0,0,0,0,0.0283644189328454,0,0,0,0
"2089","SPAL_0001460400",0,0.0335673858781399,0,0,0.0338801739270648,0.0558756834178953,0,0.0515376529599541,0,0
"2090","SPAL_0001460425",0,0.130066239810712,0.119851983258024,0.0268104524576384,0.03374960020987,0,0,0.0288232957003498,0.410398286244742,0
"2091","SPAL_0001460700",0,0,0,0,0,0,0,0,0,0
"2092","SPAL_0001461500",0,0.107471685723629,0.118622018780162,0.189914114313127,0.135307293213119,0.0566749512370089,0,0,0,0
"2093","SPAL_0001461600",0.0480844249354275,0,0.0396269754453392,0.027022623172772,0,0,0,0.0644414102779383,0.108537542661936,0
"2094","SPAL_0001461700",0,1.01437284682371e-06,0,0.00486867242758542,0,0,0.0961945501284467,0,0,0.0664074852714069
"2095","SPAL_0001461800",0,0.00629580796205706,0.0227247321256246,0,0.0512737050724171,0.0746022699106783,1.30158002780609e-07,0,0.0187072615792234,0.24082958971239
"2096","SPAL_0001462200",0,0,0,0,0,0,0.0644800895967607,0,0,0
"2097","SPAL_0001462300",9.20332036217649e-08,0.0270455527547578,0,0,0,0,0,0,0.0813327999184093,0
"2098","SPAL_0001467500",0,0,0,0,0,0,0,0,0,0
"2099","SPAL_0001467600",0.0489822060305328,0,0,0.0262993377592276,0,0,0.0651064007405589,0,0,0
"2100","SPAL_0001468050",0,0,0,0,0,0,0,0,0,0
"2101","SPAL_0001474700",0,0.0270086569948504,0.0398127070444133,0.0269957324052345,0,0.0282192278017271,0,0.0778182440724897,0,0
"2102","SPAL_0001474800",0,0,0,0,0,0,0,0,0,0
"2103","SPAL_0001475000",0.048297750839549,0.0269909582805162,0,0,0,0,0,0,0.0403233937042499,0
"2104","SPAL_0001475100",0,0,0,0,0,0.0283645795835623,0,0,0,0
"2105","SPAL_0001475200",0,0.0540869504642505,0,0.568007039798825,0,0.113089452186168,0,0,0,0
"2106","SPAL_0001475400",0,0.134535559927436,0.0396013822137004,0,0,0,0,0.0258428438848988,0,0
