"","L1L2-ERR1466827","L1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","PF-ERR1466836"
"SPAL_0000294700",-0.528222628548238,4.6185535909353,0.891906903391839,0.320502249297494,5.70776049320683,6.46378790126486,-1.45387708895945,-1.67131042367682,-1.28662444299078,-2.65405839111705
"SPAL_0000294800",5.25458847310996,5.70429567958668,5.40267841794758,4.92800137400985,5.77842411156725,5.17890104236285,6.50431772283656,6.44765493953248,5.75897321126921,5.1172789456895
"SPAL_0000294900",3.76486030464165,2.905978947973,2.1282728698897,1.81009450221153,1.76685410716509,1.57527589470707,5.85296505263128,5.0340455909653,3.13813837762389,3.68618107863456
"SPAL_0000295000",3.27905306225352,3.60772638474782,2.2746180598977,1.96014343262611,2.65695979546812,2.07529512804105,5.81120879023792,5.45705772006384,2.19725621332169,3.15534080158974
"SPAL_0000295100",5.79370467852723,5.65003871210591,8.10460872743089,8.11752680394712,6.13825284343036,6.43520949708357,5.14477742629482,5.45192544829338,8.16614720876578,6.33959456227583
"SPAL_0000295300",1.28493125043899,2.08084202980368,6.90476495917264,7.47005512839686,3.74181896427618,4.96962337232743,0.813466664569567,1.29643325613639,6.90986475196096,2.01111436088898
"SPAL_0000295400",4.73560251092595,4.54114116777789,4.56901632545342,4.56801715325784,5.0586302609425,5.22436588911523,4.32603996488947,4.58202452858358,4.70350364651384,4.8597325043891
"SPAL_0000295500",0.886095503446124,0.540292652644941,1.37863093187089,0.887127814952173,0.489668151860078,-0.272943666857554,0.929829332645488,0.88766105331494,0.697373471353659,-0.571559574860945
"SPAL_0000295600",6.18407694098868,5.50093508522555,4.65246368611118,4.14721640964821,5.57891711920378,6.06441079806028,1.80040823851582,1.92769346144157,5.08669427706085,5.52194897179946
"SPAL_0000295700",3.71635577298944,4.14537431166365,4.95417247991975,5.35377493552668,3.41657959593046,3.79710626421033,2.72815503410434,2.50078711068412,5.43749548512665,4.17159992529416
