"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"1263","SVE_0604500",0.188145930460825,0.12740227106035,0.0320168334269211,0.108729354199091,0.887127789161771,0.618749085483491,0.126894001062789,0.062469443237994,0.0788920186108036,0,0.0756817057430326,0.149427154752608
"1264","SVE_0606600",0,0,0.0602983704869412,0,0.179861544866735,0.175952675771075,0,0,0,0,0,0
"1265","SVE_0607000",0.195866345777343,0.575828496659714,0,0.0605250540939268,0.356149615423435,0.6088440717903,0.0646799895298326,0.127121063797926,0,0.0776519117620531,0,0
"1266","SVE_0607400",0,0.0633200223774001,0,0,0,0,0.192058476006417,0.125820556110788,0,0.230535004600131,0.0742363948902161,0.218722910368092
"1267","SVE_0607500",0.260711522852627,0,0.0607571162350158,0.237842689295198,0,0.35385299467789,0.127259824197627,0.125368713990987,0.158191481709028,0.0774137042281555,0.151764049965304,0.0748887144764093
"1268","SVE_0607600",0,0,0.133367475121122,0,0,0,0.0652525030352799,0.0636005095182879,0,0,0,0.0688942695805793
"1269","SVE_0608000",0,0,0,0,0.349938730041483,0.513972457503163,0,0,0,0,0,0
"1270","SVE_0609100",0,0,0,0,0,0,0,0,0,0,0,0
"1271","SVE_0609200",0,0,0,0,0,0,0.125811500748302,0.123993092435006,0,0.153013940931192,0.074980532207274,0.148925828498102
"1272","SVE_0609300",0,0,0,0,0,0,0.0713668926497743,0,0.0785045108215818,0,0,0.165198825608476
"1273","SVE_0609400",0,0,0,0,0,0,0.07867480872008,0.126655804207503,0.0795996606090347,0.077856194637921,0,0
"1274","SVE_0609500",0,0,0,0,0,0,0,0,0,0,0,0
"1275","SVE_0609600",0,0,0,0,0,0,0.0629644893288866,0,0,0.0766118759447733,0,0.0742130628182594
"1276","SVE_0609700",0.0651796833392255,0,0,0,0,0,0,0,0,0,0,0
"1277","SVE_0609800",0,0,0,0,0,0,0,4.79303212260623e-09,0,0,0.107426276878847,0
"1278","SVE_0609900",0,0,0,0,0.087615836368773,0,0,0,0,0,0,0
"1279","SVE_0610300",0.129228952411956,0.316668889926023,0,0,0,0,0.127867028616146,0.628409221639678,0.235957223974649,0.538444958610933,0.223423909067191,0.511919871294305
"1280","SVE_0610500",0,0,0,0,0,0,0,0.0614729484846546,0,0.227292296470457,0.14829631914897,0.22081130705264
"1281","SVE_0610600",0,0,0,0,0,0,0.0656229491203394,0,0,0.0765589481380878,0,0
"1282","SVE_0610700",0.129194974761077,0,0,0,0,0,0.511427844415492,0.439836298252417,0,0.230670576807039,0.148845421014623,0.146163726380555
"1283","SVE_0610900",0,0,0,0,0,0,0,0.103657322184915,0,0,0,0
"1284","SVE_0611000",0.0651516949114321,0,0,0,0.737603488506836,0.360091696826159,0.0625852125772733,0.121623012664573,0.152892752800162,0,0,0.0727127363738501
"1285","SVE_0611200",0.194882805899116,0.381580457235815,0,0,0.181631091179625,0.17743938953489,0.31278026378914,0.123343451321561,0,0.076052540261232,0.373110168235797,0
