"","geneID","FLF-ERR146941","FLF-ERR146942","FLF-ERR146943","iL3a-ERR146944","iL3a-ERR146945","iL3a-ERR146946","iL3-ERR146947","iL3-ERR146948","iL3-ERR146949","pfL1-ERR146950","pfL1-ERR146951","pfL1-ERR146952","ppL1-ERR146953","ppL1-ERR146954","ppL1-ERR146955","ppL3-ERR146956","ppL3-ERR146957","ppL3-ERR146958","PF-ERR146959","PF-ERR146960","PF-ERR146961"
"603","SSTP_0001073400",0,0.0344033255444515,0.0179487113499995,0.0342090987566379,0.0185439513331843,0,0.0220041120685781,0.0275371269949786,0,0,0.0164607015712715,0,0,0.0164887109830293,0.0489352877609557,0.0471804933402161,0.0703261219146314,0.0438661914804414,0.181279508895236,0.0243381955398178,0.0927011536251166
"604","SSTP_0001073500",0,0,0.0179339400372797,0.0340076013331812,0.0363836773920257,0,0,0,0,0,0,0,0,0,0,0.0235852986375814,0.047170094254256,0.0446055645392075,0.271041233473947,0.0240967882824605,0.186933929897487
"605","SSTP_0001073800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606","SSTP_0001074300",0,0.0232059831134848,0.0261151486480185,0,0,0,0,0,0,0,0.0221513428934315,0,0.0344422640074653,0,0,0,0,0,0,0,0
"607","SSTP_0001074500",0,0.0280441129390869,0,0.281292150002661,0.281814725497681,0.474904949687027,0.0220964988033536,0.0552998677692223,0.03696754754168,0,0.0108042957504213,0,0,0.0215751450171203,0.0161743310140612,0,0.0418940579117623,0.0524257814577329,0.309336657659176,0.782607083786602,0.48312604728415
"608","SSTP_0001076500",0.151609645935205,0.172185531266481,0.144091193550369,0.0171345337277243,0.0745075092244566,0.0543084349979325,0.0220943052655582,0,0,0.0672659084399451,0.0495682790400287,0.073856514189687,0.0508036613097933,0.0329098130219587,0,0.0942894132222308,0.140533209639004,0.109180643318111,0.181159216858272,0.512432267637985,0.600701034748671
"609","SSTP_0001087850",0,0.018053262803973,0,0.0845856276129793,0.1638299538876,0.124736845851443,0.108131958141212,0.0536399999461823,0.107867958921717,0.0338898168213876,0.0334327027755519,0,0,0.0171543445969803,0,0,0.0243112600189262,0,0,0.0241938447780694,0.0232448199369373
"610","SSTP_0001091200",0,0,0,0.359389431166965,0.129332117759329,0.381588897442259,0.197683863259891,0.466866463835535,0.111185326311115,0,0,0,0.0255421366262418,0,0,0,0,0,0,0,0.0232942551116758
"611","SSTP_0001094150",0,0,0,0,0,0,0.0222041625526327,0.0276487716902277,0,0.0169572416712936,0,0,0,0,0,0,0,0,0,0,0
"612","SSTP_0001095600",0.0167965939674053,0.0709331969507909,0.0364721823071409,0.0507436560888513,0.108864097846349,0.125517244237921,0.259964006394303,0.402675066170697,0.288041226562491,0.201153775771558,0.0823232710082392,0.0534439837056297,0,0.168084987546668,0.152686531763898,0.11948778043265,0.0952318846325075,0.136005389196574,0.0896635228818377,0,0.0464371090359941
"613","SSTP_0001099500",0,0,0.0179048598713771,0,0.0184762904314167,0.0181185001348107,0,0,0,0,0,0,0,0.0164741789195667,0,0.0471452128476506,0.0234130767767127,0,0.906147857485755,0.704106203185917,0.625751391455539
"614","SSTP_0001111500",0.0334090164029825,0,0.0896408118152902,0.102671638286575,0.0184216344868027,0.0545385559691335,0.0439205731777849,0.137105737818216,0.111085764318822,0.0335709663469863,0.0492267155364841,0.018334832742227,0.153547353405441,0.0829482805557435,0.0329908432203625,0,0,0.0221684519483624,0,0.0485671832672066,0.116764286528815
