"","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"SVE_0595300",2.71167696338642,2.92658235130136,3.13383286902104,3.15483536333988,2.70569903178692,2.48399336205948,2.99878233031185,2.83146549238241,2.00273611275472,2.08058667164453,1.62601833718965,2.59934388955701
"SVE_0595400",3.45865794889757,3.52739427324991,3.88815917194746,3.92869775113739,3.39339083140933,3.37075739765782,5.35587415114368,5.31323358113641,5.51523404106016,5.41091096377779,5.40026649926126,5.50424596931463
"SVE_0595600",-0.942901976099638,-1.10989260951131,-1.9972711398428,-1.79721603396394,-0.0139223155640994,0.126287871831551,0.928093780311082,1.08439133361561,-0.593304404088943,0.186507782006205,0.301994630619855,-0.0197919655119037
"SVE_0595700",-1.96515046666534,-1.65005478086595,-2.96691146837987,-2.61585455005324,-0.729699524210547,-1.05998143073661,-0.606192294574177,-0.511420187775981,-1.93303586625098,-2.96691146837986,-0.123862042934013,-0.63290130692576
"SVE_0596300",-1.42383168330552,-1.6458962075648,-2.00935964702105,-1.05460869057009,1.08340622487925,1.24967479196589,3.7229973577979,3.87592530693094,3.71836741587655,3.57893916422259,3.83147697550477,3.91775502489577
"SVE_0597000",0.725524876288886,-0.00753200190860704,2.04703298217311,2.10960459265165,2.31936206384689,2.07047426508083,-0.321052077760346,-0.221110295619714,-0.343772237101134,-1.35920053968449,-0.355849897164451,0.0492305872073428
"SVE_0597400",2.22983551507655,1.9327370614423,1.20665269539827,1.12395790244759,3.92697639512456,3.8770942617271,2.71268981073404,2.55111739443916,1.95060776337157,2.50445631589543,2.42261173885073,2.32599712033949
"SVE_0597500",-1.09551396788094,-0.51768913927841,-2.96691146837987,-2.96691146837986,-1.39007253411824,-1.85229116909008,-0.446048463612283,-0.806701215011272,-0.595450791831046,-0.121068246855902,-0.361832974109534,0.198971388615105
"SVE_0597600",-0.58800476043344,-0.971848510877631,-2.96691146837987,-2.96691146837986,-0.778089835279426,-0.284197541377779,-2.2882758367872,-0.993382221024503,-1.34184107087981,-2.96691146837986,-0.642202716565948,-0.401888021462572
"SVE_0597700",-1.6262831426973,-0.611996463855761,-2.96691146837987,-2.96691146837986,-1.60008584310152,-2.14089543214997,-1.19206536543355,-0.608573970484908,-1.93738921977228,-0.6103754603977,-0.389231930630692,-0.411448769158236
"SVE_0598500",-0.812945980303143,-0.966601640208239,-0.725190640756748,-0.414939589170219,0.502614699022982,0.670170237328438,-1.48970348863492,-2.30607110250177,-2.96691146837987,-2.96691146837986,-1.34863051332288,-1.95563189810051
"SVE_0598600",1.87350983548569,1.72262061906681,2.12799719659979,2.28252858307438,1.89861125090377,1.97005342401269,1.68336382790934,1.61520948806124,1.61512166412437,1.9371633176468,1.46419444986032,1.96100867011028
"SVE_0598700",-1.08436752993213,-1.10712836452189,-0.0573692909546004,-0.274828430140318,-1.02053862237836,-0.895675187439328,-0.312853968524435,-0.483547427769926,-0.106779036161153,-0.341289713761335,0.0692472219143889,0.222252475354996
"SVE_0598800",1.25158926252794,1.12886514462127,1.9744788923226,2.06941758571114,2.29242346932371,2.23723509856211,1.25645204570269,1.27040545952669,-0.101761152662141,-0.11425681354526,0.534854300785261,1.14519544160572
"SVE_0598900",0.881785620821109,1.12914549490253,0.961791450966041,0.607066821393757,0.507417145325583,0.892277315690307,0.57188486304918,0.747498262627145,0.555949817910063,0.66723784303489,0.397990057529872,0.0541606033931884
"SVE_0599000",2.60249901802951,2.27197364296394,2.92833541971486,2.814958383815,2.93260687494561,3.14008654372204,1.53506369373525,2.21218694593362,1.13262357470613,1.26456365290321,1.25137846655566,1.07596875287058
"SVE_0599100",6.63068013610821,6.62429007770919,6.52292537317034,6.56375031712053,6.66743899691496,6.70743354486864,6.02474691897048,5.98349902421699,5.66052247988069,5.7760383526847,5.71294478097041,5.70009082289439
"SVE_0599200",-0.813547171844745,-0.160758239261047,-0.905515176302568,-0.929844765139418,-2.1227520683347,-0.926206140627688,0.73641241970117,0.702874487839691,0.6795082735697,0.664673957097728,1.36961122829171,0.722099901546293
"SVE_0599500",3.46674687501931,3.64271493975886,3.35977551640371,3.24000896918314,3.91014766466771,3.79454200976251,3.17698059541924,3.1775698285147,2.799603665672,3.01416006891285,2.93227111509847,3.02227681805237
"SVE_0599600",-1.86622202512957,-1.88410921089202,-2.57930940067813,-2.96691146837986,-1.82733241457598,-2.12933343106593,-0.985072772045265,-0.634362441319645,-0.917188407039931,0.0753796530155481,-0.347429845182257,0.216434732675222
"SVE_0599700",1.66274750487985,1.93258973207166,1.78790339614296,2.07481027880315,1.24265991444425,1.36104895213213,2.89335753375721,2.73317789441238,2.14282675786089,2.47536600974463,2.47578541215952,3.02227681805237
"SVE_0599800",-0.814632412206215,-0.324339016957576,-0.714247708032621,-0.837242371272219,-1.04284981225614,-1.22440922618318,0.915478486190892,0.6280963011577,-0.322089824242273,-0.112439082314394,-0.132600126851242,-1.38000639444901
"SVE_0599900",0.487797015204996,0.354499032142034,-1.78856985747603,-1.61964593571179,2.26875685231148,2.17693660142923,1.08593051707878,0.56089342910836,1.00550831323285,-2.96691146837986,0.054277814510719,1.02941425334794
"SVE_0600000",-1.41111738439592,-1.63514042490329,-1.29195465779759,-1.62512262350876,0.415051310591737,0.211118412555066,-2.29089998626227,-1.84936390308199,-2.96691146837987,-2.96691146837986,-2.96691146837986,-2.96691146837986
"SVE_0600100",7.0265475881945,6.99059790466391,6.18497231631471,6.10283607448786,7.31902596414422,7.3659404414733,6.62636993087314,6.5268741719066,5.56901504230165,5.42673976180272,5.84929691844434,5.80341321397636
"SVE_0600200",3.02723306026736,2.9075954443074,3.8676104334118,3.79222995368479,3.15966093460554,3.1864952182826,1.63147179792897,1.99859545491468,1.91200645051325,1.84292763815408,1.46490999443044,2.13278649907989
"SVE_0600300",1.06596950733959,1.16651293540242,1.0273532245526,0.939520018359278,1.4578533894448,1.3754119076233,-0.317208435886348,0.205850569322283,-0.111116850445365,0.0702091837506928,0.651621543215074,0.375891592629906
"SVE_0600400",0.841770224708925,0.889621017482179,0.0687478038144355,0.0946439140086332,1.88976312415076,1.50135144501211,0.164093290857547,0.400990254205616,0.0967408683312241,-0.600268862871181,-0.617062132237953,0.0384931284211866
"SVE_0600500",4.95187795798322,4.94904791662206,3.89135299649209,3.89074974250116,4.66486742246236,4.61716346567237,5.6831404479317,5.62969532649852,5.73712905730144,5.76029219779069,5.89932862054299,5.97711628625028
"SVE_0600600",3.49863364745166,3.35589679882685,2.84784309021247,2.91085400297532,3.95702704723995,4.01383685430563,2.22281988282844,2.23411038577307,2.58996114510595,2.5417858996197,1.63126330298048,1.87767219331626
